time,wx,wy,wz
11.15007209777832,-0.78,-1.09,-0.29
11.15980315208435,-0.76,-0.82,-0.17
11.169648170471191,-0.81,-0.68,-0.07
11.179604053497314,-0.88,-0.62,0.02
11.189492225646973,-0.95,-0.59,0.06
11.19960904121399,-0.96,-0.53,0.06
11.214779138565063,-0.86,-0.48,0.02
11.222041130065918,-0.66,-0.5,0.0
11.230679035186768,-0.38,-0.6,0.03
11.239339113235474,-0.11,-0.73,0.1
11.249399185180664,0.09,-0.81,0.16
11.25938606262207,0.14,-0.82,0.19
11.26884913444519,0.08,-0.78,0.2
11.279113054275513,-0.01,-0.81,0.15
11.288733005523682,-0.08,-0.83,0.12
11.298535108566284,-0.12,-0.75,0.14
11.314792156219482,-0.1,-0.59,0.25
11.321840047836304,-0.01,-0.43,0.4
11.330739974975586,0.18,-0.31,0.52
11.338289260864258,0.47,-0.22,0.56
11.348076105117798,0.78,-0.1,0.59
11.358471155166626,1.08,0.05,0.58
11.368124961853027,1.32,0.25,0.54
11.37795114517212,1.49,0.48,0.45
11.387887954711914,1.61,0.8,0.35
11.398056030273438,1.71,1.14,0.26
11.408519268035889,1.79,1.45,0.21
11.418309211730957,1.82,1.67,0.2
11.42789912223816,1.72,1.75,0.23
11.437849044799805,1.48,1.61,0.26
11.447440147399902,1.17,1.33,0.29
11.457273960113525,0.99,1.12,0.3
11.467369079589844,0.94,0.97,0.3
11.47730302810669,0.91,0.92,0.2
11.487020015716553,0.92,1.0,0.07
11.497754096984863,1.0,1.3,-0.01
11.507411003112793,1.25,1.56,0.08
11.517011165618896,1.51,1.72,0.33
11.526777267456055,1.69,1.76,0.64
11.536595106124878,1.7,1.66,0.92
11.546772956848145,1.58,1.41,1.06
11.556700229644775,1.33,1.14,1.0
11.56679916381836,0.92,1.01,0.78
11.576770067214966,0.5,0.84,0.5
11.58644723892212,0.17,0.67,0.33
11.596590042114258,-0.07,0.65,0.25
11.606544971466064,-0.23,0.67,0.22
11.620765209197998,-0.3,0.72,0.18
11.63109827041626,-0.35,0.85,0.12
11.63777208328247,-0.37,0.96,0.07
11.64708423614502,-0.38,1.03,-0.01
11.656049251556396,-0.37,1.08,-0.1
11.665664196014404,-0.33,1.05,-0.18
11.6754732131958,-0.28,0.95,-0.24
11.685553073883057,-0.22,0.75,-0.27
11.695188999176025,-0.18,0.53,-0.3
11.70591402053833,-0.22,0.34,-0.34
11.719347953796387,-0.27,0.17,-0.39
11.726563930511475,-0.27,0.02,-0.46
11.735328197479248,-0.24,-0.03,-0.54
11.746796131134033,-0.22,0.05,-0.63
11.754946231842041,-0.15,0.19,-0.72
11.76508903503418,-0.08,0.43,-0.79
11.774878025054932,-0.01,0.76,-0.83
11.784605979919434,0.04,1.13,-0.86
11.79453706741333,0.13,1.37,-0.84
11.804955959320068,0.34,1.4,-0.8
